Time,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
944.5,10.3789904018607,3.28034266651886,5,5.54166666666667,5.12844639804709,21.352244502205,20,0,11.3699274384303,0
945,10.4032664071616,3.39724097657223,5,5.58333333333334,5.14187036639297,21.3970983921208,20,0,11.8092335994679,0
945.5,10.4283451418212,3.50957680107054,5,5.625,5.15575511823463,21.444031850532,20,0,12.23006751566,0
946,10.4541973778664,3.61782239458989,5,5.66666666666667,5.17008475723884,21.4929688173778,20,0,12.634476483854,0
946.5,10.4807967247397,3.72237483178931,5,5.70833333333334,5.18484488721906,21.5438351317947,20,0,13.0241606205236,0
947,10.5081192035497,3.82357160680987,5,5.75000000000001,5.20002238880307,21.5965584217959,20,0,13.4005493944415,0
947.5,10.5361429047674,3.92170231107326,5,5.79166666666667,5.21560523999377,21.6510680259084,20,0,13.7648577845155,0
948,10.564847709498,4.01701753013816,5,5.83333333333334,5.23158237012501,21.7072949359277,20,0,14.1181283198637,0
948.5,10.5942150599461,4.1097357279097,5,5.87500000000001,5.24794353962491,21.7651717536014,20,0,14.4612631084974,0
949,10.6242277684758,4.200048647688,5,5.91666666666667,5.2646792400022,21.8246326564227,20,0,14.7950486204749,0
949.5,10.6548698573279,4.28812560247152,5,5.95833333333334,5.28178060987942,21.8856133692876,20,0,15.1201751316768,0
950,10.6861264229644,4.37411692127297,5,6.00000000000001,5.29923936390323,21.948051139821,20,0,15.4372521688975,0
950.5,10.7179835203963,4.45815674568538,5,6.04166666666667,5.31704773209508,22.0118847158931,20,0,15.7468209165827,0
951,10.7504280638779,4.54036532024853,5,6.08333333333334,5.33519840774576,22.0770543243337,20,0,16.0493642844674,0
951.5,10.7834477411194,4.6208508841479,5,6.12500000000001,5.35368450236213,22.1435016501859,20,0,16.3453151528947,0
952,10.8170309387501,4.69971124579915,5,6.16666666666667,5.37249950648091,22.2111698160775,20,0,16.6350631829324,0
952.5,10.8511666772153,4.77703510287197,5,6.20833333333334,5.39163725539883,22.280003361442,20,0,16.9189604848769,0
953,10.8858445536325,4.85290315623794,5,6.25000000000001,5.41109189905065,22.3499482214364,20,0,17.1973263703391,0
953.5,10.9210546914068,4.92738905578477,5,6.29166666666668,5.4308578754084,22.4209517054778,20,0,17.4704513624566,0
954,10.9567876956167,5.00056020805673,5,6.33333333333334,5.45092988688745,22.49296247537,20,0,17.7386006008252,0
954.5,10.9930346133552,5.07247846957374,5,6.37500000000001,5.47130287933398,22.5659305230294,20,0,18.0020167490042,0
955,11.0297868983444,5.14320074496739,5,6.41666666666668,5.49197202324012,22.6398071478386,20,0,18.2609224904655,0
955.5,11.0670363792549,5.21277950540054,5,6.45833333333334,5.51293269689042,22.7145449336729,20,0,18.5155226818826,0
956,11.1047752312498,5.28126323985449,5,6.50000000000001,5.53418047119056,22.7900977256499,20,0,18.7660062194419,0
956.5,11.1429959503476,5.34869684958789,5,6.54166666666668,5.55571109596718,22.8664206066591,20,0,19.0125476634762,0
957,11.1816913302584,5.4151219942548,5,6.58333333333334,5.57752048755967,22.9434698737271,20,0,19.2553086585164,0
957.5,11.2208544413982,5.48057739671206,5,6.62500000000001,5.59960471755059,23.0212030142754,20,0,19.4944391793173,0
958,11.2604786118276,5.54509911237077,5,6.66666666666668,5.62196000250325,23.0995786823222,20,0,19.7300786281634,0
958.5,11.3005574098974,5.60872076799129,5,6.70833333333335,5.64458269459322,23.1785566746802,20,0,19.9623568045348,0
959,11.3410846284114,5.67147377404161,5,6.75000000000001,5.66746927303573,23.2580979071974,20,0,20.1913947647686,0
959.5,11.3820542701424,5.73338751409942,5,6.79166666666668,5.69061633622382,23.3381643910833,20,0,20.4173055865498,0
960,11.4234605345592,5.79448951424953,5,6.83333333333335,5.71402059450314,23.4187192093604,20,0,20.6401950507579,0
960.5,11.4652978056387,5.85480559499088,5,6.87500000000001,5.73767886351848,23.4997264934768,20,0,20.8601622512983,0
961,11.5075606406541,5.91436000780299,5,6.91666666666668,5.76158805807505,23.5811514001117,20,0,21.0773001419672,0
961.5,11.5502437598422,5.97317555821617,5,6.95833333333335,5.78574518646467,23.6629600882038,20,0,21.2916960280908,0
962,11.5933420368658,6.03127371697436,5,7.00000000000001,5.81014734521234,23.7451196962256,20,0,21.5034320095782,0
962.5,11.6368504899938,6.08867472066291,5,7.04166666666668,5.83479171420426,23.827598319729,20,0,21.7125853811077,0
963,11.6807642739353,6.14539766299123,5,7.08333333333335,5.85967555216255,23.9103649891788,20,0,21.9192289943865,0
963.5,11.7250786722653,6.2014605777646,5,7.12500000000002,5.88479619243568,23.9933896480944,20,0,22.1234315867684,0
964,11.7697890903907,6.2568805144472,5,7.16666666666668,5.91015103907705,24.0766431315107,20,0,22.3252580799526,0
964.5,11.8148910490094,6.31167360710519,5,7.20833333333335,5.93573756318708,24.1600971447739,20,0,22.5247698520099,0
965,11.8603801780191,6.36585513742134,5,7.25000000000002,5.9615532994967,24.2437242426805,20,0,22.7220249855787,0
965.5,11.9062522108386,6.41943959238937,5,7.29166666666668,5.98759584317234,24.3274978089688,20,0,22.9170784947168,0
966,11.9525029791074,6.47244071722371,5,7.33333333333335,6.01386284682458,24.4113920361704,20,0,23.1099825326017,0
966.5,11.999128407732,6.524871563958,5,7.37500000000002,6.0403520177043,24.495381905826,20,0,23.3007865820053,0
967,12.0461245102525,6.57674453615147,5,7.41666666666668,6.0670611150717,24.5794431690705,20,0,23.4895376302488,0
967.5,12.0934873845026,6.62807143007518,5,7.45833333333335,6.09398794772513,24.6635523275901,20,0,23.6762803301453,0
968,12.1412132085419,6.67886347270866,5,7.50000000000002,6.12113037167757,24.7476866149527,20,0,23.8610571482707,0
968.5,12.1892982368384,6.72913135684185,5,7.54166666666668,6.14848628796998,24.831823978313,20,0,24.0439085017512,0
969,12.2377387966837,6.77888527354551,5,7.58333333333335,6.17605364061157,24.9159430604921,20,0,24.2248728846307,0
969.5,12.2865312848221,6.82813494224527,5,7.62500000000002,6.20383041463796,25.0000231824304,20,0,24.4039869847638,0
970,12.3356721642802,6.87688963861069,5,7.66666666666669,6.23181463427889,25.0840443260121,20,0,24.581285792083,0
970.5,12.3851579613809,6.92515822044853,5,7.70833333333335,6.26000436122805,25.1679871172599,20,0,24.7568026989985,0
971,12.4349852629288,6.97294915177071,5,7.75000000000002,6.28839769300803,25.2518328098958,20,0,24.9305695936147,0
971.5,12.4851507135572,7.02027052519047,5,7.79166666666669,6.31699276142397,25.3355632692659,20,0,25.1026169463746,0
